FID,Shape *,Lakes_OBJE,FDate,GNIS_Name,Shape_Leng,Shape_Area,EWM,VLM,CLP,WC,Fan,SWF,BN,YFH,Inv,Durb,Road_Dens,X,Y,ele,Lakes_freq,ws_area,area_up,sf_dens,ewm_up,launch_num,edit,URB_ISO,Lakes1.public_acc,Lakes1.vlm_up,Rowid,LAKES_POINT *,X,Y,CLIMTMIN_4,CLIMTMIN_3,CLIMTMIN_2,CLIMTMIN_1,CLIMTMIN_12,CLIMTMIN_11,CLIMTMIN_10,CLIMTMEAN_4,CLIMTMEAN_3,CLIMTMEAN_2,CLIMTMEAN_1,CLIMTMEAN_12,CLIMTMEAN_11,CLIMTMEAN_10,CLIMTMAX_4,CLIMTMAX_3,CLIMTMAX_2,CLIMTMAX_1,CLIMTMAX_12,CLIMTMAX_11,CLIMTMAX_10,CLIMTMIN_9,CLIMTMIN_8,CLIMTMIN_7,CLIMTMIN_6,CLIMTMIN_5,CLIMTMEAN_9,CLIMTMEAN_8,CLIMTMEAN_7,CLIMTMEAN_6,CLIMTMEAN_5,CLIMTMAX_9,CLIMTMAX_8,CLIMTMAX_7,CLIMTMAX_6,CLIMTMAX_5
0,Polygon ZM,18609,4/10/2009,Pyramid Lake,9.439403,69.458885,0,0,0,0,0,0,0,0,0,15196.57759,0.753801,608189.6063,4857950.586,295.700012,31,4.309741,0,0,14,0,0,178.975232,0,5,82,0,608189.6063,4857950.586,-6,-73,-135,-145,-103,-27,19,56,-15,-73,-86,-53,20,80,119,44,-10,-26,-2,67,142,77,118,129,103,53,141,183,197,171,123,205,249,265,239,193
1,Polygon ZM,19180,10/30/2012,Indian Lake (Hamilton),106.961662,1742.270552,0,0,0,0,0,0,0,0,0,45795.58403,1.822319,553992.622,4837162.314,503.300018,72,336.021129,398.248033,0.085707,0,3,0,236.084763,1,0,108,1,553992.622,4837162.314,-20,-88,-141,-149,-109,-34,11,42,-28,-79,-91,-60,12,72,105,33,-17,-32,-10,58,133,68,103,112,86,39,130,167,177,153,108,193,231,242,220,177
2,Polygon ZM,19181,4/10/2009,Thirteenth Lake,7.904253,131.45554,0,0,0,0,0,0,0,0,0,33712.08805,0.303949,570318.9778,4839355.076,510,238,27.896053,31.922337,0,0,1,0,214.523195,1,0,105,2,570318.9778,4839355.076,-20,-87,-141,-149,-109,-35,11,42,-27,-79,-91,-60,11,72,104,33,-17,-32,-10,57,133,68,104,113,87,40,130,168,178,153,108,193,232,243,220,177
3,Polygon ZM,19706,8/28/2002,Pine Lake,4.691602,67.323846,0,0,0,0,0,0,0,0,0,17446.99277,2.887286,539592.4103,4782842.288,477,10,11.254468,0,0,0,0,0,277.063821,1,0,133,3,539592.4103,4782842.288,-11,-76,-130,-137,-100,-28,18,49,-21,-73,-83,-54,16,77,110,35,-15,-29,-7,61,137,76,115,124,97,48,136,176,187,161,113,196,237,250,226,179
4,Polygon ZM,26535,1/12/2013,Adirondack Lake,10.437415,78.039547,0,0,0,0,0,0,0,0,0,47551.20798,6.647422,559194.256,4848827.798,506,238,3.737731,0,0.235985,0,0,0,210.07192,1,0,96,4,559194.256,4848827.798,-21,-90,-143,-150,-110,-35,9,41,-29,-81,-92,-60,11,70,104,32,-18,-33,-10,57,132,67,101,109,84,37,130,166,175,151,106,193,231,241,219,176
5,Polygon ZM,28711,10/30/2012,Lake Abanakee,36.673002,214.459182,0,0,0,0,0,0,0,0,0,45129.5767,4.398405,560430.6858,4846458.944,487,238,503.57447,2630.509633,0.082591,0,1,0,214.170398,1,0,98,5,560430.6858,4846458.944,-20,-90,-142,-150,-110,-35,10,42,-29,-80,-92,-60,11,71,104,32,-17,-33,-10,58,133,67,102,110,84,37,130,166,175,151,106,193,231,241,219,176
6,Polygon ZM,28714,10/30/2012,Friends Lake,11.657484,181.055137,0,0,0,0,0,0,0,0,0,11550.47848,5.969034,593265.1153,4830981.82,279.200012,35,14.394133,14.725891,0,0,0,0,212.276832,0,0,112,6,593265.1153,4830981.82,-5,-71,-131,-140,-99,-24,21,58,-12,-69,-81,-50,23,83,122,47,-6,-22,0,70,146,80,121,131,104,55,144,186,198,172,124,208,251,265,240,194
7,Polygon ZM,32007,4/10/2009,Garnet Lake,11.801269,126.262123,0,0,0,0,0,0,0,0,0,17895.47154,4.196331,579005.4062,4818888.294,448,141,21.741148,47.97725,0,0,1,0,228.983276,1,0,119,7,579005.4062,4818888.294,-14,-79,-135,-144,-104,-30,15,48,-21,-74,-86,-55,16,75,110,38,-13,-28,-6,62,136,73,112,122,94,46,134,175,186,159,113,196,238,250,225,181
8,Polygon ZM,32753,4/10/2009,Mason Lake,7.648467,42.233483,0,0,0,0,0,0,0,0,0,51011.15164,3.620499,546688.5061,4827238.385,548,72,1.455439,0,0.917374,0,1,0,232.353902,1,0,113,8,546688.5061,4827238.385,-21,-90,-143,-150,-111,-35,11,40,-30,-81,-92,-62,10,71,102,30,-19,-34,-12,56,131,68,103,112,86,38,129,166,176,152,106,190,229,240,218,174
9,Polygon ZM,35315,9/15/2011,Hinckley Reservoir,42.687558,1094.901224,0,0,0,0,0,0,0,0,0,16159.32416,2.87819,494012.1514,4797770.496,372.800018,126,956.428828,1826.076838,0.052764,0,0,0,287.57264,1,0,129,9,494012.1514,4797770.496,-8,-76,-133,-141,-99,-25,23,53,-19,-74,-85,-52,19,82,114,39,-14,-29,-5,64,141,80,120,129,102,50,140,181,193,167,117,200,243,257,232,184
10,Polygon ZM,38629,1/12/2013,Canada Lake,26.451852,360.725298,0,0,0,0,0,0,0,0,0,13974.52913,3.180629,538113.9878,4779258.175,472.399994,10,93.782973,314.045118,0.201586,0,2,0,288.67279,1,0,134,10,538113.9878,4779258.175,-10,-74,-127,-134,-97,-28,20,50,-19,-70,-81,-51,17,79,111,37,-13,-28,-5,62,138,78,116,126,99,50,138,177,189,164,116,198,239,252,229,182
11,Polygon ZM,38630,1/12/2013,Oxbow Lake,7.883507,126.215376,0,0,0,0,0,0,0,0,0,39875.7552,4.00243,541951.9417,4810072.809,520,154,13.366026,15.34891,0.426652,0,0,0,251.498246,0,0,123,11,541951.9417,4810072.809,-17,-84,-139,-146,-107,-33,14,44,-26,-79,-90,-59,12,73,106,33,-18,-33,-10,58,133,71,109,117,90,43,132,171,180,155,110,193,233,244,221,177
12,Polygon ZM,39893,1/12/2013,Harris Lake,14.56162,126.547018,0,0,0,0,0,0,0,0,0,33840.83296,4.218975,568841.4995,4869365.149,473.800018,76,493.315939,1684.113673,0.054287,0,1,0,192.423838,1,0,76,12,568841.4995,4869365.149,-20,-90,-145,-153,-113,-37,9,42,-29,-82,-94,-62,10,70,104,32,-18,-34,-10,57,132,66,102,112,87,38,130,167,178,155,108,194,233,245,223,178
13,Polygon ZM,40988,4/10/2009,Lake Vanare,3.362687,14.43124,0,0,0,0,0,0,0,0,0,6059.441169,10.167504,598092.8517,4802792.808,214.900009,338,8.572616,0,0.215961,0,0,0,234.338322,0,0,127,13,598092.8517,4802792.808,0,-62,-124,-135,-94,-19,26,65,-4,-63,-76,-45,28,88,130,55,-1,-16,5,76,151,85,127,138,110,61,149,192,205,177,131,213,258,272,245,201
